#,יום,שעה,מלון,תלות קאסט,אשכול,לוקיישן,קטגוריה,סרטון,סוג,תסריט,קאסט,לוגיסטיקה – לקוח,לוגיסטיקה – הפקה,הלבשה,הערות,בוצע
1,שני 5.10,09:00-10:30,מלכת שבא,שחקנים,כניסה / לובי,כניסה למלון,התקדמות ברשת,התקדמות 1 · טרנזישן,hr,"עובד/ת בבגדים יומיומיים נכנס/ת למלון – סלפי או מצולם מהגב. כותרת: ""אני: יורד/ת לאילת לכמה חודשים לעשות קצת כסף במועדפת...""",שחקן,,מזוודה או תיק,בגדים יומיומיים,חלק א׳ – חייב אותו לוקיישן ואותה קומפוזיציה כמו חלק ב׳,
2,שני 5.10,09:00-10:30,מלכת שבא,שחקנים,כניסה / לובי,כניסה למלון,התקדמות ברשת,התקדמות 1 · טרנזישן,hr,טרנזישן: יד על המצלמה / דריכה על הטלפון / עמוד במלכת שבא,שחקן,,,,לבחור טרנזישן אחד ולצלם 2-3 טייקים,
3,שני 5.10,09:00-10:30,מלכת שבא,שחקנים + עובדים,כניסה / לובי,כניסה למלון – אותו לוקיישן,התקדמות ברשת,התקדמות 1 · טרנזישן,hr,"חלק ב׳: אותו שחקן/ית במדים ייצוגיים של מנהל/ת משמרת, מסביר/ה משהו לעובד אחר. כותרת: ""גם אני, שנה וחצי אחרי: מנהל/ת מחלקה באסטרל""",שחקן + עובד/ת ניצב,מדים ייצוגיים של מנהל/ת משמרת (לתאם מידה) + עובד/ת ניצב,,מדים ייצוגיים,,
4,שני 5.10,09:00-10:30,מלכת שבא,שחקנים + עובדים,כניסה / לובי,כניסה למלון,התקדמות ברשת,התקדמות 1 · טרנזישן,hr,"התדריך ב-BLUR + כותרות סיום: ""אווירה משפחתית, תנאים טובים וקידום מהיר ברשת – שלחו קו״ח ובואו לעבוד באסטרל!""",שחקן + עובד/ת ניצב,,,מדים ייצוגיים,שוט ארוך – להשאיר מקום לכותרות,
5,שני 5.10,10:30-11:15,מלכת שבא,שחקנים,חדר,"חדר – ""בבית לפני הנסיעה""",עמוד רגיל,רגיל 2 · נציג הולוגרמה (צ׳ק-אין AI),רגיל,"ידיים אורזות מזוודה, ובמקביל אישור השלב הראשון של הצ׳ק-אין בלחיצה קלה בטלפון. כותרת + קריינות: ""מהיום, מתחילים את החופשה באסטרל כבר בבית""",שחקן (ידיים),חדר פנוי,מזוודה + טלפון עם מסך הצ׳ק-אין,יומיומי,הסרטון ממותג מלכת שבא – לוגו אסטרל + מלכת שבא בסוף,
6,שני 5.10,10:30-11:15,מלכת שבא,ביוטי / ללא קאסט,חדר,חדר,עמוד רגיל,רגיל 2 · נציג הולוגרמה (צ׳ק-אין AI),רגיל,"קלוז-אפ פלאפון שמקבל התראה: ""החדר שלך מוכן!""",—,,מסך התראה מוכן להצגה,,,
7,שני 5.10,11:15-12:15,מלכת שבא,שחקנים,לובי – עמדת הולוגרמה,לובי – עמדת ההולוגרמה,עמוד רגיל,רגיל 2 · נציג הולוגרמה (צ׳ק-אין AI),רגיל,"קלוז-אפ על עמדת ההולוגרמה, האורח/ת סורק/ת את קוד ה-QR שקיבל/ה בנייד. כותרת + קריינות: ""תכירו את נציג ה-AI החדש של אסטרל, שמאפשר לכם לעשות צ׳ק-אין באופן עצמאי!""",שחקן,קוד QR עובד (העמדה קיימת ופעילה),,לבוש חופש,,
8,שני 5.10,11:15-12:15,מלכת שבא,שחקנים,לובי – עמדת הולוגרמה,לובי – עמדת ההולוגרמה,עמוד רגיל,רגיל 2 · נציג הולוגרמה (צ׳ק-אין AI),רגיל,"כרטיס החדר יוצא מהעמדה – קלוז-אפ. כותרת + קריינות: ""סורקים את הקוד, מקבלים את כרטיס החדר מיד – ולא מבזבזים זמן חופשה!""",שחקן,כרטיס חדר,,לבוש חופש,,
9,שני 5.10,11:15-12:15,מלכת שבא,שחקנים,לובי – עמדת הולוגרמה,לובי – עמדת ההולוגרמה,עמוד רגיל,רגיל 2 · נציג הולוגרמה (צ׳ק-אין AI),רגיל,"האורח/ת מתעסק/ת בעמדה – ההזדהות הראשונה. קריינות: ""הוא לא רק מביא מפתח – הנציג הדיגיטלי יענה על כל שאלה, ימליץ על מסעדות המלון ויכוון אתכם לאטרקציות הכי שוות""",שחקן,,,לבוש חופש,*** ההזדהות בעמדה חייבת להיות מצולמת לפני שוטי הנופש ***,
10,שני 5.10,12:15-13:00,מלכת שבא,ביוטי / ללא קאסט,לובי,לובי / שולחן,עמוד רגיל,רגיל 1 · חבר מועדון stars,רגיל,"ביוטי: לוח שנה של אסטרל – מדפדפים בו. כותרת: ""פתחו יומנים!""",ידיים,,לוח שנה מודפס של אסטרל,,סרטון ביוטי בהגדרה,
